,text,complaint_id,complaint_title
12,us bank breeche security give someone balance account allow make small deposit cover check suppose cash notify follow monday also stop payment reverse charge day clear person good provide business money,bc_4,Deposits and withdrawals
13,bank card keep nc branch forgot password tell rep location live x mile away roundtrip ask could mail home new issue offer help retrieve drive contact department three time via online option never receive know big deal answer question phone person want access money,bc_2,Using a debit or ATM card
14,chase premier check account try withdraw money various issue use quick pay say email address already exist course transaction like week back want every create new enter routing ac another customer profile way allow take call toll free number first line support supervisor paethetic service simply verify debit card digit pin offer move nothing,bc_5,Managing an account
15,international customer citi day saving account basic checking online access till end year lose atm card citicard since posible login without number request replacement several time however never receive branch manager state mail get later ask via call center answer either control mailing address correct theory file point atmdebit issue free charge ensure cost fee,bc_2,Using a debit or ATM card
16,customer bank america many year country month realize leave wallet debit card taxi use go airport get back immidiately check balance also report lose however tell someone away toldvth ed unabl contact submit kind document prove unauthorized transaction occur photocopy passport air fair call ask refend amount take person claim reject could anything,bc_2,Using a debit or ATM card
17,bank america personal business check account assess several nsfoverdraft fee since continue inspite fact tell link bofa credit card avoid cover deficiency balance numerous occasion day everything get hit keeps getting charge erroneous contact banker issue see email excerpt afford already struggle financially longtime customer maintain good stand assistance,bc_0,Problems caused by my funds being low
18,receive email state chase bank respond complaint work last case close answer absolutely acceptable working issue since repeat phone call still return money never intend first place ach check five month solution reach need action word without,bc_6,Company charging the account
19,debit card set expire bank america issue replacement three month prior expiration date never reach mailbox intercept someone receive message use ask provide feedback regard attempt transaction respond within minute state mine close account instead expedite ship new file dispute remove fraudulent charge addition police report put fraud alert credit agencies decline nothing wrong violate electronic fund transfer act day later send another email verify,bc_2,Using a debit or ATM card
20,several checkingsave account citibank fee waive since also mortgage change policy start charge receive notice mention recent statement online,bc_5,Managing an account
21,notice several charge come debit card call customer support dispute authorize nwhile rep find bunch old also different company name include complaint ni receive letter chase tell would almost unauthorized refunded nsince never send statement aware use mobile app quick view feature check balance login transfer account payy credit inform,bc_2,Using a debit or ATM card
22,refinance home bank america last week receive escrow refund check go deposit atm process would return contact open file claim say give temporary credit make permanent investigate issue take long later call find tell day resolve access fund already actually error report read eject another banker back anything expedite real,bc_4,Deposits and withdrawals
23,employer direct deposit payroll check rushcardand money still available automate phone telling last thursday work hard x need pay medication pharmacy deduct rushcard,bc_4,Deposits and withdrawals
24,someone transfer money saving account check use debit card colorado comerica fraud department contact hour fraudulent transaction occur notify us submit claim reimburse take computer get clean receive letter state deny reimbursement steal,bc_2,Using a debit or ATM card
25,complaint bank america charge withdraw money account one year ago daughter call x question decide use mistake company recognize manager say worry go revert taxis accountant evidence report anything promise solve situacin notice explain investigacin fee surprise take dollar,bc_6,Company charging the account
26,get x fee checking account could understand outstanding check ask customer service branch manager bank tell debit card charge seem impossible since purchase authorize unless fund time also authorization amount immediately go fubds remove final day later fall well accord store decide want money put back find alleged transaction proof refuse provide even see original many appear take,bc_2,Using a debit or ATM card
27,chase checking owe reply submit pdf document open deliberately unopenable force transparently respond word complaint via denie trust anything ethically right thing well scruple whatsoever moreover wrong back government big fail finally lined pocket whichever side win bidding voice peasant see attachment proof,bc_4,Deposits and withdrawals
28,call phone cell leave voicemail number regard overdrawn account federal law prohibit locate west virginia residence ohio eastern time zone provide proof log upon request sure keep record well guideline business must follow per fcra collection practice base work debt collector aware employer approve harass oppress abuse lie falsely imply commit crime use unfair attempt collect conceal identity,bc_5,Managing an account
29,lose card two day ago try call right away replacement mail block keep get hung wait minute still hang someone would found screw able hold trust people money bad outsource finally unprofessional pay rest bill access account online,bc_2,Using a debit or ATM card
30,bank account us create personal tell would charge none however recently get open banker favor opening call blue need quota month state long fee like monthly maintenance coinage afford apreciate without knowledge,bc_5,Managing an account
31,hello account bank close fifth third attempt collect debt unresolved check acct part class action lawsuit follow naccorde post debit card transaction andor atm withdrawals nonchronological order could maximize number overdraft fee charge customer insufficient fund deny wrongdoing agree establish settlement settle case time incur least one result resequence consider member eligible receive cash payment,bc_0,Problems caused by my funds being low
32,complaint number company response even bother speak insult accurate clear read information refer correct representative call one time leave message guy back seven never courtesy return ever answer phone hide behind sad issue take money merchant seller account times last finally omg get thougth someone temp credit heck letter state,bc_6,Company charging the account
33,submit several request barclay bank whether fdic insured amount continue give run around send invalid link check see insure understand full regulated whey know,bc_5,Managing an account
34,x charge excess draft fee day explain representative enrollment open account although kind pleasant get wind check return dollar place deposit occasion unfair keep plus per transaction go balance waiver accumulate manager state nothing could credit back would make another,bc_1,Problem caused by your funds being low
35,ach automatic payment appear account monday amount check transaction post pende go bank make cash deposit cover would nightly update talk two different employee record answer supervisor speak give number see attach picture balance include item,bc_0,Problems caused by my funds being low
36,recently receive check settlementthe capital one checki deposit atm follow night fund would availablethe agent phone say immediately available amount become rather large assure next morning account mobile app show full availablei go spend money availablea day later buy food card declinedi call inform overdrafte put security fault checking balance time manager refuse understand point view,bc_0,Problems caused by my funds being low
37,deposit check company business periodically never return account bank one week hold put fund without notice givento tell walk branch receive attach letter,bc_5,Managing an account
38,go wells fargo bank branch friday open another saving account tell something stop many hour person phone contact opening perhaps life lock freeze credit bureau need say thing year warning due prior identity theft correct number ensure ask luck get understand extremely frustrated seem keep blame put finance incapable fix problem ironic give much trouble without people permission,bc_5,Managing an account
39,open check account move new state shortly citibankaccepte initial deposit via transaction phone date unable access use debit card receive pin number despite mail forwarding atm upon call citibank representative refuse allow way send back twice ever nopin additionally due lack atmpinverification wonderfully brilliant power decide pincombo verify identity even though accept unverifie,bc_4,Deposits and withdrawals
40,veteran fix income member usaa year level service malice community widely address never issue recently monthly deposit make account unable retrieve fund without warn write notification lock due owe saving unaware would gladly rectify early know exist surprise call get matter handle tell w ait business day order use withdraw pay bill far chain command go even point tear one help set stone computer allow override express money come acco,bc_5,Managing an account
41,sign new checking account citibank offer bonus meet requirement promotion tell could take day receive since three phone call one email chat need wait back office able review information,bc_5,Managing an account
42,mother die go bank take death certificate turn creditdebit card ask banker would fund check saving tell probate hire attorney small action complete open checking account estate get ein number live fax document oregon call phone let know manager say honor something pod state want money directly daughter time talk subsequently thing,bc_4,Deposits and withdrawals
43,continue charge monthly citibank call every single month tell story reverse spend hour phone include time husband want money back sign account would fee continuously downgrade go online see deceptive practice bet people realize plan leave citi however mortgage also difficult switch bank please help,bc_5,Managing an account
44,new debit card logo visa issue suppose come mail account balance go check see current bank statement say use receive odd call us tell someone activate gas station know make personnel various attempt withdrawal money fail wrong pin number remain quantity proceed fraud report via phone,bc_2,Using a debit or ATM card
45,check account scottrade bank see usual transaction call file dispute around later send letter say deny take money find sister use give card number case emergency bother totally forget till last week credit score since apply job collection year explain fund pay release merchant try get statement show agency put hold forever tell need investigation back ok,bc_2,Using a debit or ATM card
46,make purchase direct deposit available keybank put transaction prior cause incur overdraft charge refund,bc_0,Problems caused by my funds being low
47,open business account tell would fee associated remote check complimentary however assess every month bring citibank representative address never apparently leave another branch talk emailed manager many time receive resolution go physically speak multiple individual phone times citibusiness hotline email follow,bc_3,"Account opening, closing, or management"
48,contact united states federal communication commission regard access td bank saving account online try close web brower would allow page legal create website customer view work accord regulation force leave open reason chance hack illegal like banking review secure security ensure way even misconduct mismanagement find individual involve convite,bc_5,Managing an account
49,close account cit bank iwhich use keep fund sale home couple year early ba nk send tax form already file taxis email information regard previous cease communication update banking across multiple except mail proper new address contact state monitored never true face costly amendment process,bc_5,Managing an account
50,daughter account keep get charge overdraft fee claim internet transaction make debit day also state merchant submit pay bank never put hold subsequently say tell complete complain x unauthorized take time investigate ridiculous,bc_2,Using a debit or ATM card
51,check account withdrawal know nt place withdraw money go bank file fraud filing complaint say incident report police policeman contact get paperwork subpoena pull video store clerk tell officer day record let happen ask could statement give responsible whomever use pin number decision still stand replace insure personal back everything x dollar take,bc_2,Using a debit or ATM card
52,accord fair debt collection practice act fdcpa company require verify use documentation hold within business affiliate would like scottrade bank provide verification allege owe information promptly,bc_2,Using a debit or ATM card
53,review bank statement realize use atm card charge much per transaction authorize fee see top money withdraw also balance inquiry never agree another non boa machine disclose depend amount take could bad short term loan america,bc_2,Using a debit or ATM card
54,customer rep hsbc confirm would receive fee advise replacement card check mail free charge reach next confirmed could see prior request tell order unable fix error previously waive able chargednot complete transfer supervisor time x refuse concerned lack transparency apply product feel like federal investigation require,bc_0,Problems caused by my funds being low
55,joint owner daughter save check account navy federal credit union purpose assist need handle transaction pertain college education find today financial institution transfer personal overdrawn inquire reason tell sign disclosure justify issue explain representative amount nfcu allow become money take cover balance hefty use pay obligation pull information go status since work part time basis discrepancie,bc_3,"Account opening, closing, or management"
56,apply line wells fargo bank account somewhere father wire money live rural area nearest hour away would easy straight mine refuse resolve issue understand previous due fraud choose close later date even reimburse fraudulently take year want know,bc_4,Deposits and withdrawals
57,bank wells fargo go deposit check saturday say account overdrawn teller make withdrawal morning impossible work sit another employee file fraud claim change pin number someone touch ten day get money back fine long card month nine ask investigation helpful put throw agent deny time,bc_0,Problems caused by my funds being low
58,bank chase date transaction debit acct amt x still show pende post plus charge overdraft fee payroll come st time problem reverse like pymt back go cause negative bill,bc_0,Problems caused by my funds being low
59,citizen bank charge fee due fact check account draft call tell would put money today supervisor laugh say way even ask could help week difficult time agree fair continue corrupt sympathy us anymore feel pure extortionist bad many choice go merged work diffficult office change direct deposit policy security prevtion please matter thankyou,bc_0,Problems caused by my funds being low
60,sign bank account well fargo introductory offer make consecutive direct deposit month bonus would apply meet requirement see time suppose show contact wells service rep state say pay quote precisely review record campaign therefore able issue promotional credit,bc_5,Managing an account
61,customer local bank name pnc personal checking account go close issue cashier check bounce deposit another financial institution inform bounced require return reissue new valid destroy refuse refund fund two week,bc_5,Managing an account
62,open account usbank retrieve casher check move new place oregon nevada personal banker never read disclosure inform hard inquiry credit going pull sign electric pin pad assume x point take fico score since opening learn saving secure line fee per month disclose husband put ask service want simple checking get cashier main online bank business suppose mainly call time explain situation follow,bc_3,"Account opening, closing, or management"
63,unauthorized transaction wells fargo debit card approx loss prevention department issue provisional credit portion charge partial time fraudulent pende expect another approximately well give timeframe post account part due misfeasance homeless bank provide housing would like clear definitive answer long take receive money thank,bc_2,Using a debit or ATM card
64,charge purchase show pende chase checking account balance reflect take week later overdrawn night positive ago reason overdraft result fee state due transaction expire removed post merchant explain fair give opportunity correct negative unaware disappear know would quickly deposit money bank avoid instead fix surprise see along,bc_0,Problems caused by my funds being low
65,go make payment notice h ad money account gotten call speak someone really could help put manager branch wa feel get anywhere lie time phone tell would sure whatever wrong take care back pay attorney license chapter bankruptcy per month lose rent street bank talk person cry cause know happen yet still continue,bc_5,Managing an account
66,parent bank well know name fear retribution account scamme close dollar manager tell try stop father call one child yet never pick phone yes admit mistake make good enough would like see banking industry protect vulnerable population step put place family member alert suspect twice message take ever get back different drop list come send fraud department occur happen situation,bc_5,Managing an account
67,bank charge total fee issue account first place result closing information report dispute us correction make feel take proper step avoid still one point even try pay unjust secure card lack concern allow send would payment request remove credit apply,bc_1,Problem caused by your funds being low
68,use app suppose connect bank first start show update amount account make allow cash correct pnc usually pretty reliable sure issue end,bc_6,Company charging the account
69,pay musical instrument good sell someone send money via app bank america account receive confirmation buyer fund go boa ask would able withdraw explain nature transaction allow available morning hold report fraud place access say pende payment may decline responsible since simply like restore name clear wrong attach get successful,bc_5,Managing an account
70,recently file several transaction pnc nank na unauthorized atm withdrawals pos purchase dispute sometime around bank deny majority claim exception two charge one provide final credit provisionaltemporary total approximately reasoning person allegedly make withdrawal andor kind look similar request document photo receive determination employee executive client relation department refuse initiate breach contract,bc_2,Using a debit or ATM card
71,loan navy federal credit union already chargedoff year ago yesterday borrow money brother go financial rough time deposit saving account since bank nfcu transfer fund leave x balance,bc_4,Deposits and withdrawals
72,us bank charge overdraft fee assure could occur deposit money account negative show accept come however third time call tell stop allow would also past saving suppose connect transfer cause instead ton waive use toward curtosey even though never next day find say,bc_0,Problems caused by my funds being low
73,appear start enrol job x usps background check company call opmgov whole account visa debit card steal amount transfer make boa sacramento eddvisa tell authorize tranfer fraud send new say would take day investigate two week later close clam nothing wrong tranferred bank fault part claim contact bancorpcom try name ask number numerous time finally get phone wait yet another mail becase give fail,bc_2,Using a debit or ATM card
74,wife joint account stock reinvestment dividend plan month inform pg letter date transfer agent change wells fargo bank na effective give authentication number new could create eaccount however sign website legal language specifically want agree bind arbitration wording essentially would mean right contest malfeasance blatantly unfair shareholder company importantly undemocratic clear attempt restrict small stockholder like,bc_5,Managing an account
75,sign site could bitcoin use bank account stop monitor long wish business unbeknownst datadevice compromise network temporary place employment significant security issue someone able access initiate thousand dollar purchase initially small amount large send money without additional verification ask provider service advise simplecom initial order know make proceeding complex research deny claim cite say transaction come single ip,bc_4,Deposits and withdrawals
76,accidentally leave check make inside rental car report promptly chase even though forged endorsement deposit bank allow cashed scammer closed investigation within week processing affidavit attempt investigate due lack care end somewhere police department assign detective actively look suspect want prosecute yet dismiss claim clearly case fraud day realize miss,bc_4,Deposits and withdrawals
77,receive overnight unsigned letter bank america inform remove regular saving account result cd make loan business close payment demand notice texas state comptroller office incorrectly balance transfer personal fact accept reject replace secure trustee owner early copy attach conduit bond cancel new issue certificate deposit release statement need qualified exemption assignment show first two submit neither sign,bc_6,Company charging the account
78,wife go drivethru bank america x check total deposit take cash receive slip show letter state would taken account proving could claim get even teller case find day later put back happen,bc_4,Deposits and withdrawals
79,online check account ally bank never opt overdraft protection agree write verbally allow pay time open fee merchant erroneously charge checking via internet transaction despite authorize debit nearly triple amount call representative tell payment item discretion accord understand law case overdraw also ask versus woman state increase send letter notify,bc_0,Problems caused by my funds being low
80,understand personal finance responsibility temporary lapse funding chase bank charge overdraft fee almost immediately many case amount interest rate informal microloan example recently set automatic payment credit card transfer money x account keep separate manage fund yet process cc pulled ach tiny result usurious loan small purchase something like cup coffee furthermore deduct income taxis accounting bookkeeping nt time accountant afford one occasionally hit,bc_0,Problems caused by my funds being low
81,close check issue deposit via mobile app reflect amount leave account unbeknown stop payment place item reason unknown still try find agree send fact owe fund suntrust overdrawn due include numerous overdraft fee total plus return status special department handling work voicemail message separate complaint file cfpb regard miss attempt reach executive office resolution appear error,bc_1,Problem caused by your funds being low
82,use paypal part requirement purchase something take money immediately bank account however deposit sometimes day fall weekend credit union hold buy sell hand hurt cash flow believe significant drag economy justification long delay also wire processing refund debit card law limit anything speed process thank,bc_4,Deposits and withdrawals
83,paypal close account permanently limit havemistakenly even lawsuit class action shut incorrect reason plus inappropriately handle dispute,bc_5,Managing an account
84,overdrafte check account call fifth third sign overdraft protection connect credit card,bc_1,Problem caused by your funds being low
85,scamme money bank nothing help allow strange access mobile banking get account online told seem find error occur three time,bc_2,Using a debit or ATM card
86,want stop automatic monthly withdrawal check account tell person bank would cost ripoff take less minute enter information computer,bc_3,"Account opening, closing, or management"
87,unauthorized transaction account file complaint claim department chase call police get home work report county go bank charger temporary credit give think problem resolve place state evidence fraud send documentation refuse,bc_2,Using a debit or ATM card
88,open citibank check account promotion state qualify cash bonus new consumer checking package within day date deposit amount fund exist saving plus minimum balance x require maintain consecutive calendar follow make receive qualifying transaction go branch see happen tell send claim customer service take hour response keep wait answer,bc_3,"Account opening, closing, or management"
89,start computer issue contact tech support resolve via area code number appear monitor agree let remotely access fix problem unlock say would cost pay use gift card denomination first direct get resist finally next day call back need refund set clear ask bank acct route wire fund make mistake beg return payment choose wells fargo checking low balance protect could tell actually account however link another c,bc_5,Managing an account
90,yesterday go local td bank make deposit x could bring check account current deal receive overdraft fee get banking hour debit card would open door matter many time try swipe si never call customer service department young lady answer quickly tell start happen lot situation past atms return accept cash etc disconnect back new number representative speak place hold rhe line,bc_0,Problems caused by my funds being low
91,respond citibank promotion offer open new checking account complete requirement receive bonus contact numerous time tell investigate google search find complaint,bc_3,"Account opening, closing, or management"
92,wells fargo ira cds saving account call wife review include upcoming due mature ask phone joint need well bank representative leave number speak cd large tell say must mistake assure x meeting agreement would renew upon maturity make crystal clear want person remind week however exact opposite let money market past many time matured put mma fail act promise,bc_5,Managing an account
93,contact bank america mobile app reflect current balance charge overdraft fee account overdrawn go representative see error still would refund due already issue past advise continuously online within system review give different ask long pay hit state x eastern time receive alert date process suppose make apply,bc_0,Problems caused by my funds being low
94,notice online overdraft fee x piece sum overdrawn limit total set appointment thursday explain grandfather recently diagnose disease also affect organ short time frame extra expense deal family father help visit branch location approximately wait another lady arrive minute firstly see first work understand formality common courtesy agent know title regard happen request forgiveness due circumstance advise manager would make call go talk,bc_0,Problems caused by my funds being low
95,try deposit dollar cash bank america branch teller receive request driver license could swipe respond think proper obtain personal information encode besides make someone else account refuse take say tell require internal revenue service anyone matter amount additional send speak customer agent response accept unless willing provide register,bc_4,Deposits and withdrawals
96,try closing checking saving account wells fargo tell call back informed would charge fee balance keep open still want close assess like waive thank,bc_5,Managing an account
97,bank simple three half year live current address make update link external account last week receive support message say frozen trouble verify need unlock order complete verification please submit copy follow document use instruction color photo scan social security card unexpired government issue also include residence instance bill day two recent pdf statement download directly respond right away business still response team decision,bc_4,Deposits and withdrawals
98,scottrade bank illegally offset account conspire affiliate brokerage result violate numerous provision california financial code section request provide information file arbitration case clarification procedure potential conflict problem however respond would like copy original contract full instruction,bc_4,Deposits and withdrawals
99,opt overdraft coverage keep incur unneccessary bank fee tell would cancel within day account still allow week later us optout red extra incurred,bc_0,Problems caused by my funds being low
100,va home loan default carrington mortgage service apply dee lieu foreclosure point get appraisal company agent assign single contact managing case anything write deed process know right responsibility customer offer clear communication participate option seem accountability recourse,mc_4,VA mortgage
101,ditech financial pay county taxis escrow fund collect result delinquent late fee penalty interest add tax account contact via email customer service fax different day time say would take care speak representative property include receipt attach send show reimburse submit write request numerous occassion direct inefficient servicing practice,mc_3,FHA mortgage
102,purchase townhome week closing find disclosure settlement statement omit homeowner association hoa cost attempt convey paperwork property ownership transfer currently liable never communicate outstanding charge would likely pay seller appropriately prior sign agreement allow also buyer close neighbor say expect welcome letter include instruction due,mc_4,VA mortgage
103,exist year mortgage try torefinance us bank tell debt toincome ratio could high credit score werefine income loan deny iaske refuse give reason send numerousemail get explanation avail keep therun around answer like new regulation guideline tofollow real husband,mc_1,Conventional fixed mortgage
104,mortgage servicer nationstar continue misapply payment every month make additional principal instruct apply unpaid balance along interest due get monthly statement post short report lender pay expense company incur account contact resolve matter help,mc_0,Conventional adjustable mortgage (ARM)
105,current mortgage company greentree service llc increase money need escrow every year turn never use pay tax bill last addition homeowner insurance discover go refinance another owe back taxis financial take even overpay month yet request buy loan happen tell account,mc_1,Conventional fixed mortgage
106,try modify loan year submit documentation time avail request appeal base upon last streamlined modification receive another forebearance payment would month balloon approx point representative advise guarantee perplexing frustrating wait excited family actually believe bank going review come affordable application appear make seem like help intention especially number keep rate,mc_2,Conventional home mortgage
107,friend az sell home shopping new loan license offer help find reputable lender exist usb contact ask itemized breakdown fee first tell rate would high amount standard refuse give sheet claim estimate,mc_2,Conventional home mortgage
108,husband work year close campose try keep home california get approve ask mortgage statement sls refuse send monthly therefore could provide proper document help fault servicer foreclosure notice,mc_0,Conventional adjustable mortgage (ARM)
109,make payment plan catch second bank america keep send people house even though request agree stop find something door note somebody leave tell contact discriminate single female refuse apply another thing say behind see last statement put un fund besides toward,mc_3,FHA mortgage
110,refinance mortgage cashcall tell would cost loan officer insist need add amount next tax payment pay even though future directly well document closing settlement statement call check status escrow account finally speak supervisor acknowledge something handle correctly inform resolution date today still stall say person help nothing obviously fraud owe,mc_1,Conventional fixed mortgage
111,sign nationwide biweekly administiration program reduce interest payment length loan withdraw half mtg twice month effectively make one additional year apply extra principle implicit arrangement effect duration purpose service suspend resume false promise would cease communication answer email call phone get csr parrot line script collect full fee deliver flat say refund anyone part find article complaint file crook like add name list people due compensation crooked company,mc_1,Conventional fixed mortgage
112,receive letter penny mac state escrow would sent payment local county apply never fund call repeatedly ask tell send overnight nothing yesterday yet back status due date taxis today already miss tax season pay,mc_2,Conventional home mortgage
113,mortgage company request confirmation insurance supply multiple time without acknowledgement attempt call able access person find solution electronic system provider charge provide despite fact demonstrate proof faxed result want avoid unnecessary look assistance,mc_0,Conventional adjustable mortgage (ARM)
114,mortgage loan value make extra principal payment month want terminate pmi wells fargo state still must minimum year lawful remain reach point seem excessive,mc_3,FHA mortgage
115,sunday place handcuff nonjurisdictional officer transport jail va refuse sign warrant arrest concern violation protective order third attempt family et al attack professional career tactic property belong never agree consented remedy person want another party agreement protect right,mc_2,Conventional home mortgage
116,make monthly mortgage payment time every month get tire front end work vehicle one week later hit witness next day informed insurance car total give free rental walk mean show wells fargo money unapplied fund currently confuse early deduct remain go involve send put interest messing schedule credit bureau fair fine involved,mc_4,VA mortgage
117,apply keep home california program would assist receive benefit assistance principal balance sps refuse allow participate could potentially save appear may retailiated due report various government agency numerous hamp modification loan denial,mc_0,Conventional adjustable mortgage (ARM)
118,loan sell service care company nightmare suppose servicing provide recently try log account retrieve statement sign online delivery password reset email work call day significant attempt reach someone option talk anyone find recent update make website incompatible customer rep would say access pc solution unsecure hang could change mail instead mention fix genuine concern apology error,mc_4,VA mortgage
119,recently close loan prospect mortgage receive initial disclosure indicate interest rate sign return package officer email say go would like lock provide security get high still free float option lower market well closing agree since risingassuming new however never revise next thing know time fast end document think back wish give show amortization look prior,mc_1,Conventional fixed mortgage
120,water claim home mortgage company ditech extremely difficult work hold onto check receive insurance point contractor angry pay need without take week endorse return also keep good portion even complete,mc_1,Conventional fixed mortgage
121,receive escrow shortage notice via mail chase mortgage credit account payment come directly house month call numerous time speak different people regard supervisor say correct statement inaccurate back day later make mistake would send appropriate paperwork anything leave message return,mc_1,Conventional fixed mortgage
122,lose house nationstar force insure home worth square foot top flood plain purchase matching insurance payment go comfortable almost per month proud make difficult decision walk away year pay high drown one willing help sad drive see sit empty three would wiser work oon affordable try auction could even get buyer break heart everyday cause memory miss fall apart unsellable,mc_3,FHA mortgage
123,go pay mortgage date today chase bank tell take payment call number give foreclosure ira get foreclose telling lawyer money help people care vet could last week would right away single dad,mc_4,VA mortgage
124,citi mortagelender veteran property tax lender take payment put money escrow every month year end pay collector draw intrest contact go back send check mortage taxis error repayment program period tell hold assessor last make collect seem creative intreste favor expense well educate even see dip twice give ride,mc_4,VA mortgage
125,husband lay file bankruptcy become two month behind mortgage chase home finance loan modification offer instead put repayment plan charge exorbitant fee four feel overcharged,mc_1,Conventional fixed mortgage
126,see cfpb already fine residential credit solution rcs dollar illegal mortgage service practice seem committed receive letter previous loan company long require pay private insurance per record conversation confirm pmi cancel however continue charge form escrow fax copy complaint along original reply wth confuse breakdown supply response satisfactory reasonable month later sell monthly attach documentation support claim,mc_1,Conventional fixed mortgage
127,apply preapproval security national mortgage company tell approve broker want give set amount would go high end pick home put earnest deposit follow instruction month close get inspection money back order sell current residence never receive letter lender agent inform forge valid work offer mock sale call bank yesterday file complaint wrong number clarify reasoning investigation going,mc_3,FHA mortgage
128,previously contact cfpb regard issue make mortgage payment freedom mortg age use online website follow someone sure customer service say supervisor name info give claim would necessary adjustment resolve overstate charge credit principal amount reflect month first see due usual somewhere interim prior change problem site one option pay specific accord category individual list interest escrow total whatever choose put,mc_4,VA mortgage
129,adjustable mortgage chase make several additional payment towards principal problem apply keep future call time speak employee include senior person name promise back yet receive loan recast next week new high correctly bank owe interest money year hold onto,mc_0,Conventional adjustable mortgage (ARM)
130,mortgage sell nationstar llc around year ago period issue account decide make payment directly another rather draft old thinking update option online system consequently send back nsf immediately reissue bill payer bring current electronically problem reject bank speak customer service representative tell month would unless form cashier check money order etc notify previously,mc_4,VA mortgage
131,due illness unable work period time cause fall behind mortgage payment currently receive social security pension goal keep home demonstrate ability make send company five however us bank acknowledge receipt verification attach date amount follow represent three two correspond lender give deadline bring account current letter concerned foreclosure process difficult get touch pointofcontact,mc_3,FHA mortgage
132,due financial crisis income decline one fifth previous year finally force chapter bankruptcy get back foot start pay creditor owe mortgage thing allow keep bank spring send package via sign pile document say federal government tell need refinance low rate call number ask would apply yes let proceed permission trustee judge contact attorney week later could receive notice charge fee court,mc_1,Conventional fixed mortgage
133,call request hardship withdrawal letter nationstar mortgage company tell would generate b usiness day send via postal mail email follow phone ask make available pass along k account holder payment another different amount month possibly lose house respond time state n hour next today representative telling seem unmotivated allow resolve past due though rather go foreclosure,mc_2,Conventional home mortgage
134,issue order lending process loan carrington mortgage transfer appraiser refuse pay accord cost mail cashier check lender inform notify appraise payment make could continue actual fee actually little send ridicule company falsely charge money addition email state would beat offer give new propose several time prove,mc_4,VA mortgage
135,currently loan pnc bank insurance escrow high risk dog home company tell get rid pay premium increase still send bill mortgage amount without know monthly payment go contact modification stole money run would deal everything well month later find foreclosure try heep getting deny anything save mean world family,mc_1,Conventional fixed mortgage
136,chase loan home transfer accept payment send next bank charge amount tell since make come high instead lower time go reverse mistake add escrow extra leave balance right way originally letter attach need fix account last x receive order money double fair thing mention representative phone institution anything,mc_1,Conventional fixed mortgage
137,client receive good letter trinity financial service loan originally contact confirmed sell seem scam please see attach,mc_3,FHA mortgage
138,try year return home bank right mortgage company seterus loan fill bankruptcy still take title back attempt short sale modification dee lieu finally since start process want action clean mess,mc_0,Conventional adjustable mortgage (ARM)
